id,year,method,TFR
20,2014,Interpolation,1.16805
20,2015,Interpolation,1.222883
20,2016,Interpolation,1.184353
20,2017,Interpolation,1.129432
20,2018,Interpolation,1.05315
20,2019,Interpolation,1.044666
20,2020,Interpolation,1.027904
20,2021,Interpolation,1.058041
20,2022,Interpolation,1.070808
20,2023,Projection,1.08151
24,1950,Interpolation,5.7712
24,1951,Interpolation,5.831075
24,1952,Interpolation,5.94815
24,1953,Interpolation,6.059875
24,1954,Interpolation,6.16625
24,1955,Interpolation,6.26735
24,1956,Interpolation,6.363425
24,1957,Interpolation,6.454775
24,1958,Interpolation,6.542
24,1959,Interpolation,6.626175
24,1960,Interpolation,6.708475
24,1961,Interpolation,6.790025
24,1962,Interpolation,6.87175
24,1963,Interpolation,6.9539
24,1964,Interpolation,7.03585
24,1965,Interpolation,7.116468
24,1966,Interpolation,7.194166
24,1967,Interpolation,7.266708
24,1968,Interpolation,7.331954
24,1969,Interpolation,7.388379
24,1970,Interpolation,7.433934
24,1971,Interpolation,7.466949
24,1972,Interpolation,7.48795
24,1973,Interpolation,7.498304
24,1974,Interpolation,7.499536
24,1975,Interpolation,7.494182
24,1976,Interpolation,7.485248
24,1977,Interpolation,7.475488
24,1978,Interpolation,7.467046
24,1979,Interpolation,7.461097
24,1980,Interpolation,7.458507
24,1981,Interpolation,7.459247
24,1982,Interpolation,7.461146
24,1983,Interpolation,7.461738
24,1984,Interpolation,7.459223
24,1985,Interpolation,7.451045
24,1986,Interpolation,7.434661
24,1987,Interpolation,7.408854
24,1988,Interpolation,7.373125
24,1989,Interpolation,7.327511
24,1990,Interpolation,7.272259
24,1991,Interpolation,7.208217
24,1992,Interpolation,7.137979
24,1993,Interpolation,7.064508
24,1994,Interpolation,6.990266
24,1995,Interpolation,6.918118
24,1996,Interpolation,6.85055
24,1997,Interpolation,6.7885
24,1998,Interpolation,6.732425
24,1999,Interpolation,6.682638
24,2000,Interpolation,6.639138
24,2001,Interpolation,6.601262
24,2002,Interpolation,6.566775
24,2003,Interpolation,6.533225
24,2004,Interpolation,6.498737
24,2005,Interpolation,6.46135
24,2006,Interpolation,6.419463
24,2007,Interpolation,6.372375
24,2008,Interpolation,6.319525
24,2009,Interpolation,6.260287
24,2010,Interpolation,6.193819
24,2011,Interpolation,6.119625
24,2012,Interpolation,6.038846
24,2013,Interpolation,5.953183
24,2014,Interpolation,5.864282
24,2015,Interpolation,5.77437
24,2016,Interpolation,5.685745
24,2017,Projection,5.600094
24,2018,Projection,5.518692
24,2019,Projection,5.442338
24,2020,Projection,5.371144
24,2021,Projection,5.304419
24,2022,Projection,5.20903
24,2023,Projection,5.123929
28,1950,Interpolation,5.124059
28,1951,Interpolation,5.062866
28,1952,Interpolation,5.010597
28,1953,Interpolation,4.954727
28,1954,Interpolation,4.916542
28,1955,Interpolation,4.866327
28,1956,Interpolation,4.819343
28,1957,Interpolation,4.768595
28,1958,Interpolation,4.71919
28,1959,Interpolation,4.659511
28,1960,Interpolation,4.602189
28,1961,Interpolation,4.559202
28,1962,Interpolation,4.546517
28,1963,Interpolation,4.535686
28,1964,Interpolation,4.484441
28,1965,Interpolation,4.415562
28,1966,Interpolation,4.322446
28,1967,Interpolation,4.17795
28,1968,Interpolation,4.014472
28,1969,Interpolation,3.828735
28,1970,Interpolation,3.627717
28,1971,Interpolation,3.454625
28,1972,Interpolation,3.2871
28,1973,Interpolation,3.125924
28,1974,Interpolation,2.932098
28,1975,Interpolation,2.770326
28,1976,Interpolation,2.780156
28,1977,Interpolation,2.783802
28,1978,Interpolation,2.573264
28,1979,Interpolation,2.631768
28,1980,Interpolation,2.31144
28,1981,Interpolation,2.165841
28,1982,Interpolation,2.087151
28,1983,Interpolation,2.11552
28,1984,Interpolation,2.038326
28,1985,Interpolation,2.151162
28,1986,Interpolation,2.032172
28,1987,Interpolation,2.066803
28,1988,Interpolation,2.131975
28,1989,Interpolation,2.199242
28,1990,Interpolation,2.249222
28,1991,Interpolation,2.036153
28,1992,Interpolation,2.126188
28,1993,Interpolation,2.036301
28,1994,Interpolation,2.069017
28,1995,Interpolation,2.159042
28,1996,Interpolation,2.266306
28,1997,Interpolation,2.190275
28,1998,Interpolation,2.01691
28,1999,Interpolation,1.956099
28,2000,Interpolation,2.196108
28,2001,Interpolation,2.018157
28,2002,Interpolation,1.940302
28,2003,Interpolation,1.887439
28,2004,Interpolation,1.851824
28,2005,Interpolation,1.832366
28,2006,Interpolation,1.831331
28,2007,Interpolation,1.860183
28,2008,Interpolation,2.041546
28,2009,Interpolation,2.006192
28,2010,Interpolation,1.785383
28,2011,Interpolation,1.745504
28,2012,Interpolation,1.655401
28,2013,Interpolation,1.536503
28,2014,Interpolation,1.526467
28,2015,Interpolation,1.566538
28,2016,Interpolation,1.45809
28,2017,Interpolation,1.484678
28,2018,Interpolation,1.3713
28,2019,Interpolation,1.468363
28,2020,Interpolation,1.569375
28,2021,Projection,1.579811
28,2022,Projection,1.580092
28,2023,Projection,1.578301
31,1950,Interpolation,5.0748
31,1951,Interpolation,5.10085
31,1952,Interpolation,5.1582
31,1953,Interpolation,5.22605
31,1954,Interpolation,5.3044
31,1955,Interpolation,5.3928
31,1956,Interpolation,5.48965
31,1957,Interpolation,5.59255
31,1958,Interpolation,5.697
31,1959,Interpolation,5.79525
31,1960,Interpolation,5.87825
31,1961,Interpolation,5.93655
31,1962,Interpolation,5.9609
31,1963,Interpolation,5.9452
31,1964,Interpolation,5.8882
31,1965,Interpolation,5.7921
31,1966,Interpolation,5.663
31,1967,Interpolation,5.370725
31,1968,Interpolation,5.213459
31,1969,Interpolation,5.053106
31,1970,Interpolation,4.89949
31,1971,Interpolation,4.756545
31,1972,Interpolation,4.592907
31,1973,Interpolation,4.433585
31,1974,Interpolation,4.314281
31,1975,Interpolation,4.214838
31,1976,Interpolation,4.115783
31,1977,Interpolation,3.981943
31,1978,Interpolation,3.815702
31,1979,Interpolation,3.702375
31,1980,Interpolation,3.585689
31,1981,Interpolation,3.482658
31,1982,Interpolation,3.39176
31,1983,Interpolation,3.320205
31,1984,Interpolation,3.257923
31,1985,Interpolation,3.201114
31,1986,Interpolation,3.138499
31,1987,Interpolation,3.067549
31,1988,Interpolation,3.035678
31,1989,Interpolation,3.004082
31,1990,Interpolation,2.982601
31,1991,Interpolation,2.952193
31,1992,Interpolation,2.863373
31,1993,Interpolation,2.747187
31,1994,Interpolation,2.445
31,1995,Interpolation,2.193
31,1996,Interpolation,1.977
31,1997,Interpolation,2.0185
31,1998,Interpolation,1.848
31,1999,Interpolation,1.7155
31,2000,Interpolation,1.698
31,2001,Interpolation,1.5895
31,2002,Interpolation,1.5765
31,2003,Interpolation,1.590928
31,2004,Interpolation,1.965471
31,2005,Interpolation,1.98187
31,2006,Interpolation,2.019311
31,2007,Interpolation,1.96811
31,2008,Interpolation,1.90432
31,2009,Interpolation,1.82076
31,2010,Interpolation,1.924
31,2011,Interpolation,1.98
31,2012,Interpolation,2.141852
31,2013,Interpolation,2.147511
31,2014,Interpolation,2.130517
31,2015,Interpolation,2.091657
31,2016,Interpolation,2.032279
31,2017,Interpolation,1.961045
31,2018,Interpolation,1.905225
31,2019,Interpolation,1.845177
31,2020,Interpolation,1.764272
31,2021,Interpolation,1.710071
31,2022,Interpolation,1.687181
31,2023,Projection,1.670472
32,1950,Interpolation,3.163791
32,1951,Interpolation,3.161394
32,1952,Interpolation,3.15655
32,1953,Interpolation,3.151603
32,1954,Interpolation,3.140958
32,1955,Interpolation,3.139314
32,1956,Interpolation,3.147309
32,1957,Interpolation,3.137263
32,1958,Interpolation,3.100211
32,1959,Interpolation,3.140869
32,1960,Interpolation,3.136259
32,1961,Interpolation,3.119909
32,1962,Interpolation,3.126247
32,1963,Interpolation,3.108694
32,1964,Interpolation,3.074847
32,1965,Interpolation,3.005284
32,1966,Interpolation,2.96637
32,1967,Interpolation,2.98181
32,1968,Interpolation,3.010754
32,1969,Interpolation,3.048592
32,1970,Interpolation,3.084828
32,1971,Interpolation,3.107646
32,1972,Interpolation,3.134941
32,1973,Interpolation,3.169835
32,1974,Interpolation,3.215642
32,1975,Interpolation,3.270634
32,1976,Interpolation,3.317051
32,1977,Interpolation,3.359329
32,1978,Interpolation,3.359264
32,1979,Interpolation,3.338721
32,1980,Interpolation,3.301281
32,1981,Interpolation,3.253489
32,1982,Interpolation,3.203936
32,1983,Interpolation,3.147965
32,1984,Interpolation,3.11638
32,1985,Interpolation,3.066102
32,1986,Interpolation,3.054322
32,1987,Interpolation,3.037198
32,1988,Interpolation,3.045792
32,1989,Interpolation,3.021892
32,1990,Interpolation,3.034235
32,1991,Interpolation,3.011908
32,1992,Interpolation,2.987482
32,1993,Interpolation,2.966148
32,1994,Interpolation,2.93545
32,1995,Interpolation,2.863786
32,1996,Interpolation,2.781004
32,1997,Interpolation,2.705663
32,1998,Interpolation,2.661571
32,1999,Interpolation,2.643027
32,2000,Interpolation,2.590635
32,2001,Interpolation,2.531295
32,2002,Interpolation,2.492852
32,2003,Interpolation,2.451423
32,2004,Interpolation,2.430388
32,2005,Interpolation,2.425854
32,2006,Interpolation,2.400429
32,2007,Interpolation,2.369532
32,2008,Interpolation,2.432295
32,2009,Interpolation,2.399988
32,2010,Interpolation,2.410933
32,2011,Interpolation,2.393364
32,2012,Interpolation,2.304488
32,2013,Interpolation,2.334688
32,2014,Interpolation,2.386454
32,2015,Interpolation,2.349637
32,2016,Interpolation,2.240725
32,2017,Interpolation,2.167615
32,2018,Interpolation,2.066647
32,2019,Interpolation,1.881512
32,2020,Interpolation,1.60061
32,2021,Interpolation,1.585088
32,2022,Interpolation,1.481607
32,2023,Projection,1.5
36,1950,Interpolation,3.062656
36,1951,Interpolation,3.062564
36,1952,Interpolation,3.17995
36,1953,Interpolation,3.192383
36,1954,Interpolation,3.19225
36,1955,Interpolation,3.272643
36,1956,Interpolation,3.331257
36,1957,Interpolation,3.42074
36,1958,Interpolation,3.422557
36,1959,Interpolation,3.441102
36,1960,Interpolation,3.452788
36,1961,Interpolation,3.541934
36,1962,Interpolation,3.42546
36,1963,Interpolation,3.333867
36,1964,Interpolation,3.146259
36,1965,Interpolation,2.979198
36,1966,Interpolation,2.883378
36,1967,Interpolation,2.851235
36,1968,Interpolation,2.889032
36,1969,Interpolation,2.889125
36,1970,Interpolation,2.859621
36,1971,Interpolation,2.947578
36,1972,Interpolation,2.741899
36,1973,Interpolation,2.493248
36,1974,Interpolation,2.376418
36,1975,Interpolation,2.207485
36,1976,Interpolation,2.063422
36,1977,Interpolation,2.019217
36,1978,Interpolation,1.960661
36,1979,Interpolation,1.912526
36,1980,Interpolation,1.900677
36,1981,Interpolation,1.940197
36,1982,Interpolation,1.940233
36,1983,Interpolation,1.93064
36,1984,Interpolation,1.872235
36,1985,Interpolation,1.899143
36,1986,Interpolation,1.871949
36,1987,Interpolation,1.851294
36,1988,Interpolation,1.840249
36,1989,Interpolation,1.843298
36,1990,Interpolation,1.907998
36,1991,Interpolation,1.862555
36,1992,Interpolation,1.891687
36,1993,Interpolation,1.86417
36,1994,Interpolation,1.851795
36,1995,Interpolation,1.824818
36,1996,Interpolation,1.803773
36,1997,Interpolation,1.78323
36,1998,Interpolation,1.76524
36,1999,Interpolation,1.763953
36,2000,Interpolation,1.764483
36,2001,Interpolation,1.738457
36,2002,Interpolation,1.764806
36,2003,Interpolation,1.76363
36,2004,Interpolation,1.78373
36,2005,Interpolation,1.849453
36,2006,Interpolation,1.882414
36,2007,Interpolation,1.990948
36,2008,Interpolation,2.020388
36,2009,Interpolation,1.97223
36,2010,Interpolation,1.948333
36,2011,Interpolation,1.921639
36,2012,Interpolation,1.930879
36,2013,Interpolation,1.883072
36,2014,Interpolation,1.805424
36,2015,Interpolation,1.802585
36,2016,Interpolation,1.792048
36,2017,Interpolation,1.745085
36,2018,Interpolation,1.742829
36,2019,Interpolation,1.666039
36,2020,Interpolation,1.592775
36,2021,Interpolation,1.647099
36,2022,Interpolation,1.638
36,2023,Projection,1.637998
40,1950,Interpolation,2.08926
40,1951,Interpolation,2.035386
40,1952,Interpolation,2.068065
40,1953,Interpolation,2.089661
40,1954,Interpolation,2.138955
40,1955,Interpolation,2.267726
40,1956,Interpolation,2.456209
40,1957,Interpolation,2.549313
40,1958,Interpolation,2.591858
40,1959,Interpolation,2.67753
40,1960,Interpolation,2.689002
40,1961,Interpolation,2.787247
40,1962,Interpolation,2.800729
40,1963,Interpolation,2.817206
40,1964,Interpolation,2.779258
40,1965,Interpolation,2.69678
40,1966,Interpolation,2.67197
40,1967,Interpolation,2.629147
40,1968,Interpolation,2.585289
40,1969,Interpolation,2.483647
40,1970,Interpolation,2.293698
40,1971,Interpolation,2.193568
40,1972,Interpolation,2.077182
40,1973,Interpolation,1.93079
40,1974,Interpolation,1.90176
40,1975,Interpolation,1.823003
40,1976,Interpolation,1.680649
40,1977,Interpolation,1.622843
40,1978,Interpolation,1.597329
40,1979,Interpolation,1.596895
40,1980,Interpolation,1.651253
40,1981,Interpolation,1.671864
40,1982,Interpolation,1.660858
40,1983,Interpolation,1.56279
40,1984,Interpolation,1.526148
40,1985,Interpolation,1.478895
40,1986,Interpolation,1.454804
40,1987,Interpolation,1.440251
40,1988,Interpolation,1.456722
40,1989,Interpolation,1.455412
40,1990,Interpolation,1.466634
40,1991,Interpolation,1.516069
40,1992,Interpolation,1.515976
40,1993,Interpolation,1.512232
40,1994,Interpolation,1.473992
40,1995,Interpolation,1.431064
40,1996,Interpolation,1.448295
40,1997,Interpolation,1.395243
40,1998,Interpolation,1.371409
40,1999,Interpolation,1.343763
40,2000,Interpolation,1.363788
40,2001,Interpolation,1.331394
40,2002,Interpolation,1.389026
40,2003,Interpolation,1.373068
40,2004,Interpolation,1.415371
40,2005,Interpolation,1.405953
40,2006,Interpolation,1.404183
40,2007,Interpolation,1.380882
40,2008,Interpolation,1.410574
40,2009,Interpolation,1.392745
40,2010,Interpolation,1.44015
40,2011,Interpolation,1.429717
40,2012,Interpolation,1.439702
40,2013,Interpolation,1.435982
40,2014,Interpolation,1.463657
40,2015,Interpolation,1.492151
40,2016,Interpolation,1.531366
40,2017,Interpolation,1.520947
40,2018,Interpolation,1.478848
40,2019,Interpolation,1.464192
40,2020,Interpolation,1.43929
40,2021,Interpolation,1.468859
40,2022,Interpolation,1.41
40,2023,Interpolation,1.317472
44,1950,Interpolation,4.516701
44,1951,Interpolation,4.534172
44,1952,Interpolation,4.609953
44,1953,Interpolation,4.686304
44,1954,Interpolation,4.759221
44,1955,Interpolation,4.8254
44,1956,Interpolation,4.878138
44,1957,Interpolation,4.924058
44,1958,Interpolation,4.959553
44,1959,Interpolation,5.033872
44,1960,Interpolation,5.093465
44,1961,Interpolation,5.156313
44,1962,Interpolation,5.125469
44,1963,Interpolation,5.061521
44,1964,Interpolation,4.968759
