id,model,n,rmse,smape,rmsse,crps,coverage_90,mpiw_90,mis_90,coverage_80,mpiw_80,mis_80
616,BayesTFR,15,0.1860712858741843,11.245466900550598,2.030715711830224,0.0871689149272133,100.0,0.4525358524987992,0.4525358524987992,53.333333333333336,0.35197224878506067,0.4787049842797521
616,NaiveDrift,15,0.08518425865084449,5.117082015526534,0.929670645474266,,0.0,,,0.0,,
620,NeuralTFR,15,0.08449264746753313,5.121245001405035,0.8544020191412547,0.049753233114878344,100.0,0.5728495597839356,0.5728495597839356,100.0,0.4588048458099365,0.4588048458099365
620,BayesTFR,15,0.16007774967445457,10.311490858242992,1.6187296367296031,0.08173312771754858,86.66666666666667,0.49116945822744196,0.541073122820775,80.0,0.3811964518794193,0.4856327103836017
620,NaiveDrift,15,0.13118778886289126,7.90425034320209,1.3265901241193931,,0.0,,,0.0,,
624,NeuralTFR,12,0.2557392620791474,4.885399659311435,2.480022735788582,0.1458305631263308,100.0,1.4444862008094788,1.4444862008094788,100.0,1.0765463709831238,1.0765463709831238
624,BayesTFR,12,0.3665878364046994,7.438618048924516,3.5549729891135486,0.2002150275364426,100.0,1.6183474805178388,1.6183474805178388,100.0,1.2532556433014452,1.2532556433014452
624,NaiveDrift,12,0.22304904645356652,4.177540960708068,2.1630104892912843,,0.0,,,0.0,,
626,NeuralTFR,13,1.2039212858833335,25.09301579877598,11.66610761315899,0.6706867667489279,53.84615384615385,1.5826156506171594,7.962475986443999,23.076923076923077,1.156410657442533,5.8767830904548255
626,BayesTFR,13,0.9625420739546113,20.45590216938331,9.327120924445468,0.4649223847193654,76.92307692307693,1.8113582453736328,4.482399479349578,69.23076923076923,1.4157377856164655,3.4617889639783708
626,NaiveDrift,13,0.8826489738184232,19.118428632987357,8.552949461023086,,0.0,,,0.0,,
630,NeuralTFR,14,0.36646980309099525,22.244914369620158,1.4759862231805807,0.1908035848396165,57.14285714285714,0.618875537599836,2.1959840399878368,50.0,0.4903314879962376,1.5688544171197074
630,BayesTFR,14,0.5156933944826336,30.754044773280004,2.0769960832287153,0.2983172076916886,42.857142857142854,0.5395911997650628,3.849970215985615,28.57142857142857,0.420294906401415,2.588860473561671
630,NaiveDrift,14,0.21137170253050364,14.004365739508359,0.8513163111225879,,0.0,,,0.0,,
634,NeuralTFR,13,0.036403567101519325,1.660428275799267,0.221753658689334,0.03914228161434146,100.0,0.7140710262151865,0.7140710262151865,100.0,0.5596335667830247,0.5596335667830247
634,BayesTFR,13,0.08907624261474811,4.049416166550892,0.5426111855201893,0.05434837539538013,100.0,0.6430709990675907,0.6430709990675907,100.0,0.50625064446042,0.50625064446042
634,NaiveDrift,13,0.20268237383346727,10.209854034398589,1.2346470834594359,,0.0,,,0.0,,
638,NeuralTFR,13,0.225284839437653,8.932898877253496,0.707876784255514,0.10654507160186767,92.3076923076923,0.7366766746227558,0.8008595063136175,84.61538461538461,0.5710286635618943,0.686107534628648
638,BayesTFR,13,0.0807324945542474,2.869265159539174,0.25367290037198525,0.0472134652798866,100.0,0.6066019085258529,0.6066019085258529,100.0,0.4607564883362023,0.4607564883362023
638,NaiveDrift,13,0.07057143778327796,2.635901005496977,0.2217454248719654,,0.0,,,0.0,,
642,NeuralTFR,15,0.2748740755028849,15.207133585707602,1.040239382107344,0.13864589323997495,53.333333333333336,0.5883129437764486,1.09953769048055,46.666666666666664,0.4712407430013021,0.96043275197347
642,BayesTFR,15,0.10680451986567759,6.001422348625425,0.404193329429417,0.05560309640668878,93.33333333333333,0.42932385214645336,0.4505574330379988,86.66666666666667,0.32801400462755126,0.36085923820111865
642,NaiveDrift,15,0.10089359284997144,5.436190485252565,0.3818238896950568,,0.0,,,0.0,,
643,NeuralTFR,15,0.22982346540151782,13.36023232218113,2.692602821617327,0.12099216379721958,73.33333333333333,0.6032781839370728,0.8102708101272583,66.66666666666666,0.47964479128519694,0.819232718149821
643,BayesTFR,15,0.1491070331755632,7.874102998122744,1.7469322270904124,0.06836880550432894,100.0,0.42801927888569474,0.42801927888569474,80.0,0.32941913660067873,0.3491370320087094
643,NaiveDrift,15,0.13644985370970425,7.482393653539436,1.5986412025688423,,0.0,,,0.0,,
646,NeuralTFR,14,0.17322342103494717,3.5646048102252332,0.5236799705120153,0.1115343761869839,100.0,1.4624137026923043,1.4624137026923043,100.0,1.0806018795285905,1.0806018795285905
646,BayesTFR,14,0.264405988041859,5.5503902444318625,0.799338329618986,0.15228171829533918,100.0,1.6538783917393123,1.6538783917393123,100.0,1.2747473516553889,1.2747473516553889
646,NaiveDrift,14,0.16322138911184655,3.2554501446016526,0.4934423516539231,,0.0,,,0.0,,
662,NeuralTFR,12,0.22170092850304288,14.214069888681347,0.4945971639957236,0.10755971002082028,100.0,0.5934776763121287,0.5934776763121287,100.0,0.4948914448420207,0.4948914448420207
662,BayesTFR,12,0.2655328554488781,16.138434056090148,0.592382711878895,0.1282622065083885,100.0,0.5508389578431617,0.5508389578431617,41.66666666666667,0.43485947880084835,0.681164937504844
